               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.027954,            0.025385,            0.003779,             0.95201,             0.96032,             0.97757,             0.64992,            0.021464,           0.0088515,          0.00056175,           0.0046568,           0.0046568,           0.0046568
                  58,            0.029126,            0.029671,           0.0037312,             0.93475,             0.95155,             0.96918,             0.63037,            0.021694,           0.0091978,           0.0007359,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027791,            0.026076,           0.0035389,             0.93519,              0.9761,              0.9791,             0.63314,            0.022153,           0.0088573,           0.0004983,           0.0043809,           0.0043809,           0.0043809
                  60,            0.028304,            0.029996,           0.0037073,             0.95104,             0.99206,             0.98395,             0.62029,            0.021495,           0.0089786,          0.00043187,           0.0042445,           0.0042445,           0.0042445
                  61,            0.028323,            0.027313,           0.0034834,             0.96669,             0.97608,             0.98138,             0.61383,            0.022876,           0.0087658,          0.00067319,           0.0041094,           0.0041094,           0.0041094
                  62,             0.02755,            0.023323,           0.0035188,             0.94092,              0.9841,             0.97923,             0.58576,            0.023026,           0.0087194,          0.00098054,           0.0039757,           0.0039757,           0.0039757
                  63,            0.027555,            0.026052,           0.0028248,              0.9316,             0.99206,             0.98187,             0.62862,            0.022263,           0.0091273,             0.00085,           0.0038434,           0.0038434,           0.0038434
                  64,            0.028292,            0.029759,           0.0033253,               0.934,             0.96978,             0.97125,             0.59457,             0.02301,            0.009272,          0.00050902,           0.0037128,           0.0037128,           0.0037128
                  65,            0.026557,             0.02813,           0.0032608,             0.95117,             0.99205,             0.98253,             0.61341,            0.021922,             0.00915,          0.00053671,            0.003584,            0.003584,            0.003584
                  66,            0.026923,            0.027775,           0.0026749,             0.94115,             0.99204,             0.98271,             0.65398,            0.021373,           0.0089456,          0.00043543,            0.003457,            0.003457,            0.003457
                  67,              0.0265,            0.024471,           0.0024856,             0.95752,             0.96481,              0.9822,             0.63241,            0.021233,           0.0086791,          0.00036069,           0.0033321,           0.0033321,           0.0033321
                  68,            0.027366,             0.02813,           0.0032049,             0.94215,             0.99204,             0.98252,             0.62675,            0.022114,           0.0087571,          0.00041319,           0.0032093,           0.0032093,           0.0032093
                  69,             0.02688,            0.028249,           0.0031361,             0.93873,             0.99197,             0.98188,              0.6429,            0.020213,            0.008938,           0.0004517,           0.0030888,           0.0030888,           0.0030888
                  70,            0.026253,            0.026535,           0.0025145,             0.96091,             0.99206,             0.98123,             0.63034,             0.02106,           0.0089947,          0.00041691,           0.0029706,           0.0029706,           0.0029706
                  71,            0.025479,            0.026362,           0.0031488,             0.96217,             0.99197,             0.98149,             0.62041,            0.021702,           0.0090673,           0.0004803,            0.002855,            0.002855,            0.002855
                  72,            0.025077,            0.024295,           0.0025509,             0.96832,             0.99206,             0.98179,             0.60245,            0.022252,           0.0088636,          0.00034821,           0.0027419,           0.0027419,           0.0027419
                  73,            0.026648,            0.025101,           0.0023733,             0.97297,             0.99206,             0.98145,             0.58761,            0.022646,           0.0088412,          0.00031441,           0.0026316,           0.0026316,           0.0026316
                  74,            0.025149,            0.023522,           0.0028267,             0.97652,               0.992,              0.9817,             0.62428,            0.021829,           0.0088082,          0.00036258,           0.0025241,           0.0025241,           0.0025241
                  75,            0.025899,            0.027279,           0.0024144,             0.94616,               0.992,             0.98085,                0.64,             0.02075,           0.0086664,           0.0004624,           0.0024195,           0.0024195,           0.0024195
                  76,            0.026391,            0.026479,           0.0028652,             0.96864,             0.98394,             0.97277,             0.63688,            0.021917,            0.008762,          0.00035324,            0.002318,            0.002318,            0.002318
                  77,            0.025165,            0.026285,           0.0031627,             0.95733,              0.9832,              0.9775,             0.64524,            0.021888,           0.0087427,          0.00046087,           0.0022196,           0.0022196,           0.0022196
                  78,            0.024444,            0.022415,           0.0024625,             0.96607,              0.9613,             0.97884,              0.6462,            0.021455,           0.0088255,          0.00042997,           0.0021245,           0.0021245,           0.0021245
                  79,            0.024657,             0.02344,           0.0023602,             0.94948,             0.98323,             0.97751,             0.63843,            0.022462,           0.0092715,          0.00027403,           0.0020327,           0.0020327,           0.0020327
                  80,            0.024213,            0.025139,           0.0022922,             0.95174,             0.98329,             0.97925,             0.62578,            0.021695,           0.0090183,          0.00023366,           0.0019443,           0.0019443,           0.0019443
                  81,            0.024838,            0.026771,           0.0019133,             0.95035,             0.98329,              0.9793,             0.62927,            0.022572,           0.0092497,          0.00021993,           0.0018594,           0.0018594,           0.0018594
                  82,            0.024647,            0.027174,           0.0021164,             0.95151,             0.98329,             0.97912,             0.63377,            0.022307,           0.0092532,          0.00020476,           0.0017781,           0.0017781,           0.0017781
                  83,            0.024146,            0.025222,           0.0021774,             0.95986,             0.98323,             0.97759,             0.63486,            0.022143,           0.0092904,          0.00023871,           0.0017005,           0.0017005,           0.0017005
                  84,            0.025336,            0.024477,           0.0018798,             0.96216,             0.96946,             0.97666,             0.64033,            0.021915,           0.0092138,          0.00026589,           0.0016267,           0.0016267,           0.0016267
                  85,            0.025398,            0.029366,           0.0020309,             0.94789,             0.99205,             0.98388,             0.64452,            0.021874,           0.0091792,          0.00023467,           0.0015566,           0.0015566,           0.0015566
                  86,            0.024816,             0.02295,            0.001824,             0.96212,             0.98613,             0.98435,              0.6242,            0.022052,           0.0090338,          0.00027959,           0.0014905,           0.0014905,           0.0014905
                  87,            0.024836,            0.026726,           0.0023284,               0.974,             0.97619,             0.98457,             0.63563,            0.021842,           0.0092095,          0.00030886,           0.0014283,           0.0014283,           0.0014283
                  88,            0.023165,            0.023789,           0.0019784,             0.97398,             0.97522,             0.98408,             0.64568,            0.021253,           0.0092465,          0.00037168,           0.0013701,           0.0013701,           0.0013701
                  89,            0.024374,            0.026066,           0.0017899,             0.98033,             0.97609,             0.98317,             0.63193,            0.021824,           0.0091986,          0.00033446,            0.001316,            0.001316,            0.001316
                  90,            0.023315,            0.021274,           0.0020563,             0.98157,             0.97619,             0.98333,             0.63336,            0.021793,           0.0090997,          0.00027004,            0.001266,            0.001266,            0.001266
                  91,            0.024526,            0.025119,           0.0018089,              0.9814,             0.97714,             0.98346,              0.6319,            0.021466,           0.0091643,          0.00026661,           0.0012202,           0.0012202,           0.0012202
                  92,            0.023675,             0.02433,           0.0019483,              0.9734,             0.98622,             0.98422,             0.62108,            0.021816,           0.0090708,          0.00020359,           0.0011787,           0.0011787,           0.0011787
                  93,            0.022828,            0.019925,            0.001827,             0.96241,             0.99206,             0.98332,             0.62472,             0.02207,           0.0091764,          0.00022341,           0.0011414,           0.0011414,           0.0011414
                  94,            0.023993,            0.024852,           0.0022277,             0.96915,             0.99206,             0.98342,             0.62931,            0.022266,           0.0089669,          0.00024363,           0.0011084,           0.0011084,           0.0011084
                  95,            0.023281,            0.024191,           0.0019391,             0.96039,             0.99206,              0.9838,             0.63605,            0.021803,           0.0091777,          0.00024645,           0.0010797,           0.0010797,           0.0010797
                  96,            0.022586,             0.02345,           0.0020487,             0.96128,             0.99197,             0.98349,             0.64035,            0.021704,           0.0089984,          0.00028556,           0.0010554,           0.0010554,           0.0010554
                  97,            0.023568,            0.026037,            0.001858,             0.97031,             0.97193,             0.98341,             0.63816,            0.021871,           0.0091996,          0.00044111,           0.0010355,           0.0010355,           0.0010355
                  98,            0.022766,            0.026488,            0.002185,             0.96708,             0.97423,             0.98336,             0.63992,            0.021322,           0.0092165,          0.00037164,             0.00102,             0.00102,             0.00102
                  99,            0.021745,            0.021462,           0.0015517,             0.98141,             0.97279,             0.98346,             0.64248,            0.022012,           0.0092295,          0.00041182,           0.0010089,           0.0010089,           0.0010089
